POCO;Recebidos;Geoquímica de rocha;Geoquímica de fluido;Dados de rocha e fluido;CADASTRO;OPERADOR;POCO_OPERADOR;ESTADO;BACIA;BLOCO;SIG_CAMPO;CAMPO;TERRA_MAR;POCO_POS_ANP;TIPO;CATEGORIA;RECLASSIFICACAO;SITUACAO;INICIO;TERMINO;CONCLUSAO;TITULARIDADE;LATITUDE_BASE_4C;LONGITUDE_BASE_4C;LATITUDE_BASE_DD;LONGITUDE_BASE_DD;DATUM_HORIZONTAL;TIPO_DE_COORDENADA_DE_BASE;DIRECAO;PROFUNDIDADE_VERTICAL_M;PROFUNDIDADE_SONDADOR_M;PROFUNDIDADE_MEDIDA_M;REFERENCIA_DE_PROFUNDIDADE;MESA_ROTATIVA;COTA_ALTIMETRICA_M;LAMINA_D_AGUA_M;DATUM_VERTICAL;UNIDADE_ESTRATIGRAFICA;GEOLOGIA_GRUPO_FINAL;GEOLOGIA_FORMACAO_FINAL;GEOLOGIA_MEMBRO_FINAL;CDPE;AGP;PC;PAG;PERFIS_CONVENCIONAIS;DURANTE_PERFURACAO;PERFIS_DIGITAIS;PERFIS_PROCESSADOS;PERFIS_ESPECIAIS;AMOSTRA_LATERAL;SISMICA;TABELA_TEMPO_PROFUNDIDADE;DADOS_DIRECIONAIS;TESTE_A_CABO;TESTE_DE_FORMACAO;CANHONEIO;TESTEMUNHO;GEOQUIMICA;SIG_SONDA;NOM_SONDA;ATINGIU_PRESAL;DHA_ATUALIZACAO
7-AB-4D-RJS;x;;;;7.4281E+11;Petrobras;7AB  0004D RJS;RJ;Campos;AB;AB   ;ALBACORA;M;N;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;32370;32397;32397;Público;-22:07:46,949;-39:56:03,938;-22.12970806;-39.93442722;SIRGAS2000;Definitiva;Direcional;;3093;;MR;27;;436;NM;;;;;;;Existe;;;;Existe;;;;;;;;;;;;SS-16;PETROBRAS X;;44899.20838
7-AB-50DA-RJS;x;;;;7.4281E+11;Petrobras;7AB  0050DARJS;RJ;Campos;AB;AB   ;ALBACORA;M;N;7;Desenvolvimento;ABANDONADO POR ACIDENTE MECÂNICO;ABANDONADO PERMANENTEMENTE;35119;35123;35123;Público;-22:10:52,648;-39:57:21,706;-22.18129111;-39.95602944;SIRGAS2000;Definitiva;Direcional;;755;;MR;25;;370;NM;;;;;;Existe;;;;;;;;;;;;;;;;;SS-22;PETROBRAS XVII;;44899.20838
7-AB-50DB-RJS;x;;;;7.4281E+11;Petrobras;7AB  0050DBRJS;RJ;Campos;AB;AB   ;ALBACORA;M;N;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO;35123;35145;35145;Público;-22:10:52,648;-39:57:21,706;-22.18129111;-39.95602944;SIRGAS2000;Definitiva;Direcional;;3075;;MR;25;;370;NM;;;;;;;Existe;;;;Existe;;;;;;;;;;;;SS-22;PETROBRAS XVII;;44899.20838
7-AB-50D-RJS;x;;;;7.4281E+11;Petrobras;7AB  0050D RJS;RJ;Campos;AB;AB   ;ALBACORA;M;N;7;Desenvolvimento;ABANDONADO POR ACIDENTE MECÂNICO;ABANDONADO PERMANENTEMENTE;35118;35119;35119;Público;-22:10:52,648;-39:57:21,706;-22.18129111;-39.95602944;SIRGAS2000;Definitiva;Direcional;0;653;0;MR;25;0;370;NM;;;;;;;;;;;;;;;;;;;;;;;SS-22;PETROBRAS XVII;;44899.20838
7-AB-52DA-RJS;x;;;;7.4281E+11;Petrobras;7AB  0052DARJS;RJ;Campos;AB;AB   ;ALBACORA;M;N;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;35318;35322;35322;Público;-22:09:26,282;-39:56:12,312;-22.15730056;-39.93675333;SIRGAS2000;Definitiva;Direcional;0;3168;0;MR;25;0;460;NM;;;;;;;Existe;;;;Existe;;;;;;;;;;;;SS-22;PETROBRAS XVII;;44899.20838
7-AB-54D-RJS;x;;;;7.4281E+11;Petrobras;7AB  0054D RJS;RJ;Campos;AB;AB   ;ALBACORA;M;N;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;35340;35373;35373;Público;-22:09:26,485;-39:56:11,054;-22.15735694;-39.93640389;SIRGAS2000;Definitiva;Direcional;0;2965;0;MR;25;0;460;NM;;;;;;;Existe;;;;Existe;;;;;;;;;;;;SS-22;PETROBRAS XVII;;44899.20838
7-AB-56D-RJS;x;;;;7.4281E+11;Petrobras;7AB  0056D RJS;RJ;Campos;AB;AB   ;ALBACORA;M;N;7;Desenvolvimento;ABANDONADO POR ACIDENTE MECÂNICO;ABANDONADO PERMANENTEMENTE;35337;35416;35416;Público;-22:09:25,562;-39:56:13,317;-22.15710056;-39.9370325;SIRGAS2000;Definitiva;Direcional;0;2908;0;MR;25;0;455;NM;;;;;;;Existe;;;;Existe;;;;;;;;;;;;SS-22;PETROBRAS XVII;;44899.20838
7-AB-63H-RJS;x;;;;7.4281E+11;Petrobras;7AB  0063H RJS;RJ;Campos;AB;AB   ;ALBACORA;M;N;7;Desenvolvimento;OBSERVAÇÃO;ABANDONADO PERMANENTEMENTE;36588;36698;36698;Público;-22:08:04,983;-39:59:14,845;-22.1347175;-39.98745694;SIRGAS2000;Definitiva;Horizontal;;3856;3856;MR;27;;296;NM;;;;;;;;;Existe;Existe;Existe;;Existe;;;;Existe;Existe;;;;;SS-52;OCEAN WHITTINGTON;;44899.20838
7-AB-6D-RJS;x;;;;7.4281E+11;Petrobras;7AB  0006D RJS;RJ;Campos;AB;AB   ;ALBACORA;M;N;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO;32448;32505;32505;Público;-22:07:48,449;-39:56:03,004;-22.13012472;-39.93416778;SIRGAS2000;Definitiva;Direcional;;3420;;MR;27;;437;NM;;;;;;;Existe;;;;Existe;;;;;;;;;;;;SS-16;PETROBRAS X;I;44899.20838
7-AB-8D-RJS;x;;;x;7.4281E+11;Petrobras;7AB  0008D RJS;RJ;Campos;AB;AB   ;ALBACORA;M;N;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO;33121;33149;33149;Público;-22:09:28,708;-39:56:31,701;-22.15797444;-39.94213917;SIRGAS2000;Definitiva;Direcional;0;3352;3349;MR;27;0;419;NM;;;;;;;Existe;;;;Existe;;;;;;;;;;;;SS-16;PETROBRAS X;I;44899.20838
