POCO,LATITUDE_BASE_4C,LONGITUDE_BASE_4C,LATITUDE_BASE_DD,LONGITUDE_BASE_DD,DATUM_HORIZONTAL,PROFUNDIDADE_SONDADOR_M,AGP
4-BRSA-973A-SPS,"-25:53:31,772","-43:35:48,326","-25,8921589","-43,5967572",SIRGAS2000,5138,
4-BSS-59-BS,"-26:38:56,296","-46:49:16,294","-26,6489711","-46,8211928",SIRGAS2000,5277,Existe
4-CER-7D-BA,"-11:55:43,639","-38:03:22,349","-11,9287886","-38,0562081",SIRGAS2000,1086,
4-CM-40-SES,"-10:55:02,087","-36:58:34,461","-10,9172464","-36,9762392",SIRGAS2000,2348,
4-ESS-75-ES,"-19:34:25,836","-39:21:54,916","-19,5738433","-39,3652544",SIRGAS2000,3349,Existe
4-ESS-89-ES,"-19:33:52,134","-39:15:14,431","-19,5644817","-39,2540086",SIRGAS2000,174,Existe
4-FQ-55-ES,"-18:59:15,489","-39:48:43,711","-18,9876358","-39,8121419",SIRGAS2000,1749,Existe
4-FSL-3-ES,"-19:19:23,033","-39:47:44,465","-19,3230647","-39,7956847",SIRGAS2000,2215,Existe
4-FSL-6-ES,"-19:21:26,620","-39:47:48,822","-19,3573944","-39,7968950",SIRGAS2000,2103,Existe
4-FSL-7-ES,"-19:18:32,571","-39:47:55,973","-19,3090475","-39,7988814",SIRGAS2000,2013,Existe
4-FSL-8-ES,"-19:21:11,497","-39:48:39,610","-19,3531936","-39,8110028",SIRGAS2000,2028,Existe
4-LD-2-ES,"-19:30:08,908","-39:47:27,637","-19,5024744","-39,7910103",SIRGAS2000,1930,Existe
4-LP-29-ES,"-19:37:16,989","-39:49:34,925","-19,6213858","-39,8263681",SIRGAS2000,2091,Existe
4-LPB-2-ES,"-19:35:48,287","-39:50:43,939","-19,5967464","-39,8455386",SIRGAS2000,1900,Existe
4-LPS-3-ES,"-19:38:00,441","-39:49:42,474","-19,6334558","-39,8284650",SIRGAS2000,1832,Existe
